,Name,Chance of playing this round,Chance of playing next round,code,Position,Live cost,PPG,GWPoints,Percentage owned,Team,Total points,Minutes Played,Goals Scored,Assists,Clean sheets,Goals Conceded,Penalties Saved,Penalties Missed,Yellow Cards,Saves,Bonus,ICT,Fixture_Strength,Result_Strength,Predicted Points
37,Henri Lansbury,0.0,0.0,40564,3,43,0.0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38,Neil Taylor,,,47390,2,42,-1.0,0,0.2,2,-1,15,0,0,0,2,0,0,1,0,0,0.2,0,0,0
39,Jed Steer,,,79852,1,39,0.0,0,4.4,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
40,Conor Hourihane,0.0,0.0,85242,3,59,5.0,0,0.1,2,20,225,1,1,2,2,0,0,0,0,3,18.2,0,0,0
41,José Ignacio Peleteiro Romallo,0.0,0.0,89274,3,59,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
42,Ørjan Nyland,0.0,0.0,98770,1,40,0.0,0,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
43,Bjorn Engels,100.0,100.0,108156,2,44,0.0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
44,Jack Grealish,0.0,0.0,114283,3,75,5.9,0,15.5,2,129,1977,6,12,12,24,0,0,6,0,13,249.1,0,0,0
45,John McGinn,,,122806,3,55,3.2,5,0.9,2,92,2610,1,7,13,33,0,0,7,0,2,116.9,0,0,0
46,Kortney Hause,100.0,100.0,123354,2,44,7.0,0,0.1,2,28,360,1,0,3,1,0,0,1,0,3,14.2,0,0,0
47,Mahmoud Ahmed Ibrahim Hassan,100.0,0.0,148508,3,52,2.7,2,0.5,2,56,1157,2,1,6,14,0,0,0,0,3,86.7,0,0,0
48,Tyrone Mings,100.0,100.0,149484,2,54,4.0,1,8.6,2,115,2564,2,2,13,32,0,0,4,0,8,97.8,0,0,0
49,Matt Targett,,,169359,2,50,3.9,0,13.4,2,118,2684,0,3,15,31,0,0,7,0,8,101.7,0,0,0
50,James Bree,0.0,0.0,184386,2,45,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
51,Marvelous Nakamba,,,184704,3,43,1.8,2,0.4,2,18,507,0,0,4,2,0,0,2,0,0,11.4,0,0,0
52,Anwar El Ghazi,100.0,100.0,193488,3,52,3.6,1,0.9,2,72,987,6,0,4,12,0,0,1,0,9,117.5,0,0,0
53,Ezri Konsa Ngoyo,100.0,100.0,199798,2,47,3.6,0,6.7,2,102,2475,2,0,11,33,0,0,3,0,7,79.5,0,0,0
54,Frédéric Guilbert,0.0,0.0,203368,2,43,0.0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
55,Wesley Moraes,25.0,25.0,213345,4,60,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56,Mbwana Samatta,0.0,0.0,217487,4,59,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
57,Keinan Davis,100.0,100.0,221239,4,42,1.3,0,8.0,2,12,103,0,1,0,0,0,0,0,0,0,15.9,0,0,0
58,Indiana Vassilev,0.0,0.0,223349,4,43,0.0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
59,Douglas Luiz Soares de Paulo,100.0,100.0,230046,3,48,2.3,1,0.2,2,59,2263,0,2,11,31,0,0,7,0,0,72.6,0,0,0
60,Ross Barkley,100.0,100.0,88894,3,58,3.0,1,0.8,2,63,1228,3,1,7,19,0,0,0,0,4,108.6,0,0,0
61,Matthew Cash,100.0,100.0,199796,2,50,3.7,1,0.8,2,88,2092,0,2,11,29,0,0,6,0,8,87.6,0,0,0
62,Ollie Watkins,,,178301,4,65,4.5,8,24.5,2,135,2700,12,6,14,33,0,1,2,0,13,250.7,0,0,0
